FID,Quality,LUCategory,POP,AREA,KD_MEAN,KD_SD,KDLN_MEAN,KDLN_SD
0,Core,Other,Gold Coast,37368.098826699999336,0.027137499237000,0.067281492504900,-4.236681998990000,1.004461515580000
1,Core,Other,Koala Coast,10980.142966900000829,0.042495763172600,0.022396458521200,-3.277908348820000,0.482240322516000
2,Core,Other,Moreton Bay,140622.442834999994375,0.038769138409200,0.097636339333600,-4.035185972010000,1.152115354340000
3,Core,Other,N Stradbroke,14924.370772899999793,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
4,Core,Other,Noosa,32714.319167699999525,0.007668356316760,0.009737886513650,-5.189508611510000,0.791632664338000
5,Core,Other,North West,170046.561374000011710,0.023274937521500,0.028343419824400,-4.293743404320000,1.006336219800000
6,Core,Other,South West,178930.113333999994211,0.020715350569100,0.019543028592400,-4.167624846330000,0.740054260434000
7,Core,Urban Footprint,Gold Coast,6341.159063029999743,0.041346916030800,0.037211536308700,-3.407019002100000,0.624932873130000
8,Core,Urban Footprint,Koala Coast,2067.644550250000066,0.099832200699200,0.049509402672900,-2.433635202320000,0.526342061427000
9,Core,Urban Footprint,Moreton Bay,8915.335778740000023,0.047350915218000,0.037726730180600,-3.350369067480000,0.793186657175000
10,Core,Urban Footprint,Noosa,869.950655033999965,0.011963826511100,0.009823047679180,-4.686315965650000,0.670005813893000
11,Core,Urban Footprint,North West,669.887653847000024,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
12,Core,Urban Footprint,South West,15998.764976599999500,0.023143019553600,0.015604415131700,-3.968799359000000,0.637743546024000
13,Non-core,Other,Gold Coast,10782.100459699999192,0.158925215188000,0.494136859575000,-3.689066920140000,1.820129962950000
14,Non-core,Other,Koala Coast,44.839570822299997,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
15,Non-core,Other,Moreton Bay,34199.933766800000740,0.031528022162900,0.050980235671700,-4.115218333850000,1.148541463310000
16,Non-core,Other,N Stradbroke,955.096661863999998,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
17,Non-core,Other,Noosa,6062.770691419999821,0.007471341004820,0.013737558802000,-5.490740922030000,1.002217391310000
18,Non-core,Other,North West,52473.169629700001678,0.044562507082100,0.037345802242900,-3.619429718360000,1.154715948060000
19,Non-core,Other,South West,67519.648312399993301,0.050048844897100,0.101918523536000,-3.843184657930000,1.220756599490000
20,Non-core,Urban Footprint,Gold Coast,79.959720923500001,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
21,Non-core,Urban Footprint,Koala Coast,31.843822270299999,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
22,Non-core,Urban Footprint,Moreton Bay,1003.873715859999947,0.030702169612100,0.011581464408600,-3.561871671680000,0.405363637125000
23,Non-core,Urban Footprint,Noosa,62.930149037600003,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
24,Non-core,Urban Footprint,North West,70.716702201000004,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000
25,Non-core,Urban Footprint,South West,387.972488036000016,0.033880636716900,0.010924324542800,-3.447892745340000,0.371335293249000
