FID,Quality,LUCategory,POP,AREA,KD_MEAN,KD_SD,KDLN_MEAN,KDLN_SD
0,Core,Other,Gold Coast,37368.09883,0.027137499,0.067281493,-4.236681999,1.004461516
1,Core,Other,Koala Coast,10980.14297,0.042495763,0.022396459,-3.277908349,0.482240323
2,Core,Other,Moreton Bay,140622.4428,0.038769138,0.097636339,-4.035185972,1.152115354
3,Core,Other,N Stradbroke,14924.37077,0.15,0.12,-2.367611657,0.97004296
4,Core,Other,Noosa,32714.31917,0.007668356,0.009737887,-5.189508612,0.791632664
5,Core,Other,North West,170046.5614,0.023274938,0.02834342,-4.293743404,1.00633622
6,Core,Other,South West,178930.1133,0.020715351,0.019543029,-4.167624846,0.74005426
7,Core,Urban Footprint,Gold Coast,6341.159063,0.041346916,0.037211536,-3.407019002,0.624932873
8,Core,Urban Footprint,Koala Coast,2067.64455,0.099832201,0.049509403,-2.433635202,0.526342061
9,Core,Urban Footprint,Moreton Bay,8915.335779,0.047350915,0.03772673,-3.350369067,0.793186657
10,Core,Urban Footprint,Noosa,869.950655,0.011963827,0.009823048,-4.686315966,0.670005814
11,Core,Urban Footprint,North West,669.8876538,0.02314302,0.015604415,-3.968799359,0.637743546
12,Core,Urban Footprint,South West,15998.76498,0.02314302,0.015604415,-3.968799359,0.637743546
13,Non-core,Other,Gold Coast,10782.10046,0.158925215,0.49413686,-3.68906692,1.820129963
14,Non-core,Other,Koala Coast,44.83957082,-9999,-9999,-9999,-9999
15,Non-core,Other,Moreton Bay,34199.93377,0.031528022,0.050980236,-4.115218334,1.148541463
16,Non-core,Other,N Stradbroke,955.0966619,0.15,0.12,-2.367611657,0.97004296
17,Non-core,Other,Noosa,6062.770691,0.007471341,0.013737559,-5.490740922,1.002217391
18,Non-core,Other,North West,52473.16963,0.044562507,0.037345802,-3.619429718,1.154715948
19,Non-core,Other,South West,67519.64831,0.050048845,0.101918524,-3.843184658,1.220756599
20,Non-core,Urban Footprint,Gold Coast,79.95972092,-9999,-9999,-9999,-9999
21,Non-core,Urban Footprint,Koala Coast,31.84382227,-9999,-9999,-9999,-9999
22,Non-core,Urban Footprint,Moreton Bay,1003.873716,0.03070217,0.011581464,-3.561871672,0.405363637
23,Non-core,Urban Footprint,Noosa,62.93014904,-9999,-9999,-9999,-9999
24,Non-core,Urban Footprint,North West,70.7167022,-9999,-9999,-9999,-9999
25,Non-core,Urban Footprint,South West,387.972488,0.033880637,0.010924325,-3.447892745,0.371335293
